in|Calvin Klein ck one|49917729|12|127.0.0.1:20002
in|Alien Mugler|7fc95643|37|127.0.0.1:20002
out|Davidoff Zino|4da1f1a8|43|127.0.0.1:20002
out|Boss Bottled|f5b2cd74|1|127.0.0.1:20002
out|Boss Bottled|f5b2cd74|42|127.0.0.1:20002
in|Davidoff Zino|4da1f1a8|26|127.0.0.1:20002
in|Dior Sauvage|e37a91ee|19|127.0.0.1:20002
in|Alien Mugler|7fc95643|21|127.0.0.1:20002
out|Davidoff Cool Water|c77a952e|28|127.0.0.1:20002
in|Dior Sauvage|e37a91ee|23|127.0.0.1:20002
in|Alien Mugler|7fc95643|15|127.0.0.1:20002
in|Boss Bottled|f5b2cd74|27|127.0.0.1:20002
out|Calvin Klein ck one|49917729|34|127.0.0.1:20002
out|Dior Sauvage|e37a91ee|5|127.0.0.1:20002
out|Calvin Klein ck one|49917729|45|127.0.0.1:20002
in|Dior Sauvage|e37a91ee|29|127.0.0.1:20002
out|Calvin Klein ck one|49917729|24|127.0.0.1:20002
out|Alien Mugler|7fc95643|4|127.0.0.1:20002
in|Dior Sauvage|e37a91ee|4|127.0.0.1:20002
in|Calvin Klein ck one|49917729|38|127.0.0.1:20002
out|Calvin Klein ck one|49917729|35|127.0.0.1:20002
out|Boss Bottled|f5b2cd74|46|127.0.0.1:20002
in|Davidoff Zino|4da1f1a8|21|127.0.0.1:20002
out|Calvin Klein ck one|49917729|13|127.0.0.1:20002
in|Calvin Klein ck one|49917729|45|127.0.0.1:20002
in|Davidoff Zino|4da1f1a8|40|127.0.0.1:20002
in|Davidoff Zino|4da1f1a8|21|127.0.0.1:20002
out|Calvin Klein ck one|49917729|35|127.0.0.1:20002
out|Boss Bottled|f5b2cd74|37|127.0.0.1:20002
in|Alien Mugler|7fc95643|35|127.0.0.1:20002
out|Davidoff Zino|4da1f1a8|22|127.0.0.1:20002
in|Alien Mugler|7fc95643|47|127.0.0.1:20002
in|Alien Mugler|7fc95643|38|127.0.0.1:20002
in|Dior Sauvage|e37a91ee|17|127.0.0.1:20002
in|Boss Bottled|f5b2cd74|24|127.0.0.1:20002
in|Alien Mugler|7fc95643|32|127.0.0.1:20002
out|Boss Bottled|f5b2cd74|39|127.0.0.1:20002
out|Davidoff Zino|4da1f1a8|40|127.0.0.1:20002
in|Dior Sauvage|e37a91ee|8|127.0.0.1:20002
in|Dior Sauvage|e37a91ee|49|127.0.0.1:20002
