in|Dior Sauvage|e37a91ee|38|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|32|127.0.0.1:20001
out|Alien Mugler|7fc95643|36|127.0.0.1:20001
in|Boss Bottled|f5b2cd74|6|127.0.0.1:20001
in|Dior Sauvage|e37a91ee|27|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|19|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|8|127.0.0.1:20001
out|Calvin Klein ck one|49917729|46|127.0.0.1:20001
in|Davidoff Cool Water|c77a952e|11|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|24|127.0.0.1:20001
out|Calvin Klein ck one|49917729|0|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|17|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|4|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|10|127.0.0.1:20001
in|Boss Bottled|f5b2cd74|34|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|10|127.0.0.1:20001
out|Alien Mugler|7fc95643|19|127.0.0.1:20001
in|Calvin Klein ck one|49917729|1|127.0.0.1:20001
out|Calvin Klein ck one|49917729|25|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|2|127.0.0.1:20001
out|Alien Mugler|7fc95643|6|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|1|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|28|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|36|127.0.0.1:20001
in|Davidoff Cool Water|c77a952e|44|127.0.0.1:20001
in|Alien Mugler|7fc95643|29|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|48|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|6|127.0.0.1:20001
in|Boss Bottled|f5b2cd74|42|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|36|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|39|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|30|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|21|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|21|127.0.0.1:20001
in|Boss Bottled|f5b2cd74|41|127.0.0.1:20001
out|Calvin Klein ck one|49917729|33|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|12|127.0.0.1:20001
out|Alien Mugler|7fc95643|19|127.0.0.1:20001
in|Alien Mugler|7fc95643|11|127.0.0.1:20001
in|Calvin Klein ck one|49917729|43|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|42|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|7|127.0.0.1:20001
in|Calvin Klein ck one|49917729|41|127.0.0.1:20001
in|Calvin Klein ck one|49917729|13|127.0.0.1:20001
out|Alien Mugler|7fc95643|27|127.0.0.1:20001
out|Calvin Klein ck one|49917729|19|127.0.0.1:20001
in|Alien Mugler|7fc95643|18|127.0.0.1:20001
out|Alien Mugler|7fc95643|6|127.0.0.1:20001
in|Alien Mugler|7fc95643|19|127.0.0.1:20001
in|Dior Sauvage|e37a91ee|49|127.0.0.1:20001
out|Alien Mugler|7fc95643|39|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|11|127.0.0.1:20001
in|Alien Mugler|7fc95643|29|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|36|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|37|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|6|127.0.0.1:20001
out|Calvin Klein ck one|49917729|39|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|10|127.0.0.1:20001
out|Alien Mugler|7fc95643|40|127.0.0.1:20001
in|Dior Sauvage|e37a91ee|11|127.0.0.1:20001
out|Alien Mugler|7fc95643|30|127.0.0.1:20001
in|Alien Mugler|7fc95643|20|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|8|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|18|127.0.0.1:20001
out|Calvin Klein ck one|49917729|47|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|13|127.0.0.1:20001
in|Alien Mugler|7fc95643|44|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|42|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|6|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|15|127.0.0.1:20001
out|Davidoff Zino|4da1f1a8|48|127.0.0.1:20001
in|Alien Mugler|7fc95643|20|127.0.0.1:20001
out|Davidoff Cool Water|c77a952e|31|127.0.0.1:20001
out|Calvin Klein ck one|49917729|6|127.0.0.1:20001
out|Calvin Klein ck one|49917729|14|127.0.0.1:20001
in|Davidoff Cool Water|c77a952e|1|127.0.0.1:20001
in|Davidoff Cool Water|c77a952e|5|127.0.0.1:20001
in|Davidoff Cool Water|c77a952e|47|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|15|127.0.0.1:20001
in|Davidoff Zino|4da1f1a8|48|127.0.0.1:20001
in|Boss Bottled|f5b2cd74|22|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|43|127.0.0.1:20001
in|Davidoff Cool Water|c77a952e|20|127.0.0.1:20001
in|Calvin Klein ck one|49917729|29|127.0.0.1:20001
in|Alien Mugler|7fc95643|38|127.0.0.1:20001
